Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	WM_LossMean	WM_LossStd	StopIter	Time
0	8.887981	3.3561726	40.335907	4.3419466	12.33642	-0.28946784	0.05713111	-0.121096626	-0.46584517	4000	1.9073487e-09	34.734306	-0.012424631	-27.168211	0.91893864	0.01505153	0.22925	0.5831429869681597	0.6006020286498368	3.0	10.175666570663452
1	14.077128	7.0449243	48.58623	5.689451	16.352459	4.5108986	1.6531698	6.7997947	-0.57625	8000	4.4703483e-10	41.59687	-0.027653188	-18.303844	0.92071223	0.016351057	0.23375	0.035183136891573666	0.010088976524859019	4.0	20.6887686252594
2	39.03441	39.17771	211.70355	6.901185	31.234375	9.142625	3.213683	12.50157	-1.5097184	12000	-7.2717667e-09	1101.9984	-0.01580132	-312.26544	0.91963446	0.018603154	0.29075	0.04722844395786524	0.013892028337496861	6.0	30.353862524032593
3	116.48753	67.13774	234.2469	12.862519	63.285713	21.51403	2.6006174	22.429205	-2.480971	16000	-6.6757204e-09	3260.7979	-0.010021789	-829.3391	0.91724986	0.015934601	0.17825	0.03851357715204358	0.007459668617602055	9.0	40.18949770927429
4	113.116104	54.66934	249.00388	11.053462	60.523075	33.414257	1.047822	33.531597	10.827199	20000	2.2053719e-09	1977.3715	-0.015702747	-325.31714	0.91516024	0.0071899383	0.091	0.038139328677207235	0.007275140566703991	79.0	50.87877321243286
5	139.7152	60.879314	248.57097	30.729673	71.03571	39.962986	0.7772703	40.031025	14.531333	24000	7.1525574e-10	2366.4785	-0.014980418	-353.82898	0.9169389	0.011132764	0.08875	0.0398168446496129	0.008834651876324125	79.0	61.92763543128967
6	179.08667	53.94386	239.3626	52.941116	84.510635	46.350357	0.83614194	46.445354	23.566628	28000	-1.4901161e-09	2866.6743	-0.014095314	-466.31885	0.92767024	0.0065389276	0.07625	0.043991260286420586	0.010447490454667521	79.0	72.5500545501709
7	186.82231	49.56395	247.53162	61.091164	87.888885	53.468086	0.027877755	53.47254	52.668777	32000	2.9802323e-09	2513.0142	-0.014744194	-491.88293	0.9371171	0.005367535	0.086	0.0423893872462213	0.008048865123552991	79.0	83.37691569328308
8	192.92952	43.90624	228.46082	61.323334	88.53333	54.36806	10.655803	59.52076	-1.8851564	36000	1.9073487e-09	2122.945	-0.01680369	-402.7693	0.9310016	0.0062006596	0.10325	0.03928464412689209	0.008768949186556532	79.0	93.53832173347473
9	199.7337	41.176857	233.43806	48.018192	90.88636	59.551346	13.755498	65.53464	3.2813504	40000	-9.536744e-10	1842.257	-0.0155462455	-315.42822	0.91518945	0.007990747	0.0925	0.03473946984857321	0.007241704532041723	79.0	103.74359655380249
10	205.38812	29.785711	237.11212	93.19862	92.65116	63.473194	16.332163	71.03938	2.467896	44000	-2.3841857e-09	1500.314	-0.014589672	-280.01746	0.91255265	0.0074891923	0.08825	0.036580320131033656	0.008370165452070913	79.0	114.01835680007935
11	212.03857	31.167454	234.68123	24.88057	94.90476	65.48639	19.406876	76.084274	-1.5552797	48000	7.1525574e-10	1301.0907	-0.012757504	-255.4867	0.9181119	0.0041256947	0.07325	0.03589751088991761	0.00854161246823514	79.0	124.3855402469635
12	217.67401	18.291155	241.93907	131.18356	97.560974	68.8043	21.991398	81.01818	-1.8296484	52000	-3.3378602e-09	1096.6727	-0.013267743	-207.90149	0.921023	0.0072130766	0.0815	0.034374155309051274	0.008326666629410815	79.0	134.5182180404663
13	221.19531	12.0490885	246.03061	184.45282	98.5	72.3343	22.81183	85.510155	-0.19264805	56000	5.00679e-09	895.02075	-0.013840591	-179.31897	0.9149123	0.006589668	0.08725	0.0330723363161087	0.009690231936669035	79.0	144.65002512931824
14	224.58228	11.258965	243.64902	179.03204	99.825	74.92201	24.850983	89.76536	-0.5377743	60000	-7.2717667e-09	763.65155	-0.0125136115	-148.35645	0.9088915	0.006526455	0.077	0.03178479513153434	0.008195143844507419	79.0	154.8425590991974
15	220.0935	18.290958	264.84506	134.65399	98.025	78.487434	25.715128	93.70091	-4.9834714	64000	-6.5267085e-09	622.3657	-0.014386434	-110.86551	0.90737563	0.00956816	0.09625	0.030840938910841942	0.007882727661403466	79.0	164.85614562034607
16	217.98413	28.986917	266.20468	102.35339	96.87805	80.02266	26.558308	97.07292	-1.7507455	68000	-5.00679e-09	607.11566	-0.0051245163	-100.9241	0.9030826	0.015205932	0.21625	0.029885682091116906	0.0066197883725424575	5.0	174.48888611793518
17	226.09746	17.41825	267.34915	193.23521	100.30769	81.10717	27.97224	100.00239	-4.173122	72000	-1.4305115e-09	488.96506	-0.016547373	-104.87482	0.90389186	0.006092403	0.1035	0.030165478317067028	0.008176744285536445	79.0	184.49252462387085
18	226.51416	37.905357	309.69858	95.55215	99.875	83.814064	28.478529	102.99726	-4.9361196	76000	7.1525574e-10	657.6877	-0.019856067	-113.29401	0.8863788	0.007879074	0.1215	0.029906418453902007	0.008528829210460628	79.0	194.61001658439636
