Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	WM_LossMean	WM_LossStd	StopIter	Time
21	347.04657	23.79965	386.3211	260.45532	136.03448	109.73606	33.695583	129.28474	0.9716104	88000	2.861023e-09	1095.0211	-0.014189811	-183.93915	0.9016144	0.015080551	0.11375	0.03600101800635457	0.013431595920035148	45.0	225.02461528778076
22	345.14508	41.88316	399.2392	187.15034	136.31035	111.83214	35.82487	133.32094	1.4324639	92000	3.695488e-09	1053.2511	-0.01729817	-139.0086	0.89935476	0.010331468	0.09825	0.03758471067994833	0.011908891184586283	79.0	234.98095607757568
23	359.17584	21.33606	410.76254	314.0167	140.28572	114.05412	36.493244	136.78014	1.6883636	96000	1.0609627e-08	882.1535	-0.017759744	-162.11365	0.90290445	0.013906656	0.11925	0.03416081288829446	0.010361039024745233	79.0	245.12576413154602
24	366.32635	25.504343	431.19412	309.51105	141.78572	118.31221	36.78754	140.52252	2.2877097	100000	1.7881393e-09	868.64996	-0.018422816	-150.79749	0.89285547	0.010480764	0.1235	0.03494437199085951	0.011023739088711676	79.0	255.16224813461304
25	379.3769	27.972973	441.6727	329.15338	144.14815	120.22002	38.70571	144.17827	0.4305148	104000	-2.771616e-09	896.1573	-0.020935668	-176.81732	0.8876646	0.014044467	0.1375	0.03686852743849158	0.012165232771485717	79.0	265.5245587825775
26	384.8293	52.05602	581.595	223.38863	145.2963	125.33113	38.414646	148.12144	2.6836383	108000	1.7881393e-09	996.005	-0.016306354	-171.20319	0.87764716	0.01527374	0.12975	0.03811767691746354	0.01492108496071426	58.0	275.62994956970215
27	389.31577	28.807009	505.65405	354.47122	146.59259	127.54828	40.550907	151.84445	0.5480068	112000	-6.0796737e-09	718.2077	-0.016845647	-161.92621	0.8711495	0.015165821	0.098	0.03804785380139947	0.011550926244739268	41.0	285.75405526161194
28	401.828	35.691616	509.43942	335.751	148.76923	130.76862	40.48827	155.3503	-2.1121824	116000	-4.887581e-09	826.5075	-0.021597648	-194.34601	0.8716654	0.011671079	0.13175	0.03865077616646886	0.013257233042265512	79.0	296.1020324230194
29	400.79926	34.445347	488.1643	320.1704	148.07408	134.01207	42.3561	159.15004	1.7029502	120000	3.218651e-09	677.6338	-0.02111894	-140.23468	0.8741475	0.015178105	0.1275	0.04171408152207732	0.012798180211034666	68.0	306.2952256202698
30	418.85355	56.89217	590.34314	346.08777	152.15384	134.9748	43.06873	162.5095	0.31425	124000	9.536744e-10	906.0433	-0.021118766	-200.98938	0.89011973	0.008771143	0.1195	0.04590527093037963	0.017418264086714548	79.0	316.43080973625183
31	429.6161	82.63523	618.4866	248.34647	153.42308	141.40825	43.585392	166.19655	3.0138018	128000	-2.384186e-10	1197.4178	-0.022959026	-188.5263	0.8766012	0.011930291	0.1435	0.04709890965372324	0.016471615963038824	79.0	326.54453015327454
32	442.8961	115.51138	612.6419	29.803596	156.28	143.96347	44.027977	170.17464	0.7240062	132000	4.2915342e-09	1303.556	-0.014909027	-221.3761	0.8809856	0.015531089	0.1205	0.0461558872833848	0.016079174700022795	15.0	336.2545499801636
33	463.28625	65.21533	590.49036	397.23822	160.33333	147.22188	46.08866	174.6228	-0.66733074	136000	6.0200693e-09	1123.8988	-0.0131839495	-282.06653	0.8796543	0.0153397545	0.1125	0.04765641694888473	0.018459937714311692	25.0	346.1729545593262
34	500.9656	106.706795	685.6981	211.04987	169.21739	154.96875	46.18708	179.23253	3.8478858	140000	1.6689301e-09	1707.5431	-0.022835659	-313.9203	0.8709759	0.011206389	0.13	0.05086664466187358	0.018589253891943245	79.0	356.41866755485535
35	505.7554	80.32988	638.32886	397.53107	170.0	157.14572	46.892006	184.50531	2.333524	144000	1.0609627e-08	1258.5715	-0.024249237	-270.88855	0.8699141	0.014599994	0.1565	0.05109983067959547	0.018619481542688526	79.0	367.2318115234375
36	521.1297	97.831604	646.8969	256.577	172.91304	163.13026	47.49809	189.36052	5.725093	148000	-6.198883e-09	1668.7415	-0.019840766	-245.7544	0.85878265	0.01501405	0.1325	0.053112939205020665	0.01856515197906328	67.0	377.6516041755676
37	519.4271	99.909004	665.3437	350.32385	173.95454	166.6825	49.662132	193.85756	4.1745977	152000	-2.3841857e-09	1416.3441	-0.0077351774	-176.76318	0.857976	0.01665087	0.19625	0.05203679859638214	0.020804796338689507	5.0	387.8680362701416
38	579.7127	79.84073	695.1	408.93408	189.25	169.2706	51.530502	197.84741	0.3513391	156000	3.8743018e-09	1405.7617	-0.0059362925	-317.36792	0.8571162	0.0151903005	0.1715	0.05333340257406235	0.019012019401955665	3.0	397.93673729896545
39	596.38855	82.15117	714.88635	430.9371	190.14285	176.4601	51.26462	203.1886	-1.7891862	160000	-1.2516975e-08	1301.2277	-0.0224185	-308.76538	0.85677546	0.012949915	0.13175	0.04899490652605891	0.015247191309827542	79.0	408.51648020744324
40	581.09235	85.3348	704.64844	411.3252	186.85715	179.1055	53.661793	208.7633	-1.5906515	164000	-5.4836273e-09	947.35455	-0.023599176	-225.36047	0.85332936	0.00990555	0.13775	0.05308014627546072	0.01821743675131758	79.0	419.0688910484314
41	626.0572	65.37477	717.13007	467.6057	196.45	182.38591	55.885174	213.08345	0.5502734	168000	-1.1086464e-08	1045.5162	-0.02162567	-246.4253	0.8354563	0.011033884	0.12675	0.05262937169522047	0.01931560466077146	79.0	429.4567666053772
42	593.7796	83.942604	816.42285	412.8657	189.95238	183.17766	58.468365	218.17032	1.0925181	172000	0.0	656.9601	-0.0042998544	-159.86078	0.8146108	0.017287256	0.1465	0.051625537611544134	0.01817248594604558	3.0	439.38305258750916
43	653.1066	37.21217	708.25714	546.0432	203.42105	189.26215	58.009583	221.72011	-0.22689724	176000	-1.257658e-08	794.98834	-0.019407166	-200.0987	0.81368554	0.013037527	0.123	0.049248585421591995	0.016966002848557253	79.0	449.6241338253021
44	558.9214	147.29501	768.3326	277.6876	182.19048	197.1906	55.070652	226.24785	-0.5284178	180000	6.3180923e-09	2263.467	-0.0060219835	-243.67651	0.8145014	0.022525357	0.2095	0.049274969808757306	0.015742055242806485	3.0	459.5212938785553
45	508.01706	169.16515	719.54114	24.772705	169.69565	203.77237	49.599632	226.78418	3.4597325	184000	1.168251e-08	3311.0774	-0.0212496	-907.157	0.81433433	0.009997469	0.1465	0.05060448434203863	0.019514154294472674	79.0	470.00187134742737
46	588.8931	128.87874	719.33777	297.50668	189.85715	185.30946	56.305553	225.84476	5.775485	188000	-6.6757204e-09	1684.6315	-0.0057254	-325.2567	0.8116074	0.015923468	0.19725	0.04756167819723487	0.015892635321620857	4.0	480.17748737335205
47	688.16815	147.98071	997.9621	289.73755	224.88235	204.12697	50.475838	227.81483	2.2112916	192000	1.3113022e-09	2741.8137	-0.0046162964	-176.50879	0.81314534	0.02043639	0.201	0.046699639316648243	0.017360202476113074	3.0	490.0638189315796
48	695.5201	88.60728	960.8317	498.3687	216.33333	200.56168	54.667652	229.46251	-2.8605175	196000	9.417534e-09	1527.5348	-0.0026965763	-509.70026	0.81314915	0.015270655	0.15675	0.045882540866732595	0.015547162162256751	4.0	500.9660942554474
49	721.0659	63.823227	881.19183	614.1482	223.23529	201.19878	58.774586	233.8628	2.3824503	200000	-2.1457673e-08	818.3152	-0.021628689	-236.87689	0.8111368	0.0064314473	0.1165	0.04596823241561651	0.017218820586231115	79.0	512.9761555194855
50	732.81195	126.695244	928.6866	396.32867	232.23529	211.93175	56.28743	239.07141	-1.2517886	204000	-5.4836273e-09	1179.3573	-0.019358175	-246.48596	0.8117054	0.013028469	0.124	0.04564947346225381	0.015566350670759435	79.0	523.6167190074921
51	704.8168	67.39768	860.9699	569.27826	219.38889	204.14622	63.408215	242.58067	4.7061825	208000	-3.4570693e-09	475.18082	-0.02201869	-135.96881	0.8218792	0.008839724	0.1245	0.05254278864711523	0.01765282294357808	79.0	534.490077495575
52	707.39526	40.317383	775.1711	594.3579	219.5	208.76337	64.04705	245.73946	1.0595036	212000	-1.7881393e-09	327.54758	-0.022763561	-68.34213	0.800195	0.013213349	0.137	0.04736518980935216	0.016028037522519	79.0	545.6064455509186
53	705.49457	89.41715	1004.45435	587.97406	216.66667	211.11488	64.51448	248.6196	3.9391575	216000	-1.192093e-10	446.2982	-0.022230595	-80.65405	0.7921964	0.0057671578	0.13775	0.049103746637701985	0.013608787039649479	79.0	556.3093314170837
54	661.0357	147.50238	958.6984	207.70593	206.42105	214.79759	64.01372	251.31914	1.3786488	220000	1.34706495e-08	1218.8451	-0.021077204	-183.39758	0.79186517	0.013402117	0.16825	0.04301803074777126	0.01517966774881805	79.0	567.2496798038483
55	719.5988	81.96612	889.72174	591.7383	224.11765	212.05803	64.77443	252.21983	3.2303138	224000	9.417534e-09	990.86597	-0.018502792	-130.344	0.7956362	0.008695672	0.14775	0.04265984568744898	0.014083040388953732	79.0	578.9080674648285
56	727.5522	64.76877	885.8548	663.5677	225.17647	216.73672	65.60083	253.47427	-1.5052452	228000	-2.3841857e-09	288.49188	-0.02226234	-50.63713	0.79147923	0.014304306	0.1425	0.042692816480994225	0.015537796787340716	79.0	589.4588899612427
