Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	WM_LossMean	WM_LossStd	StopIter	Time
0	11.73644	6.6814027	59.253654	4.1179056	14.565694	0.32014662	0.04378988	0.39636075	0.08174807	4000	2.1457671e-09	79.012505	-0.021485474	-47.76673	0.91893864	0.019605063	0.24425	0.5122507689148188	0.5209834185111015	4.0	11.56524658203125
1	22.349577	21.416443	117.216965	5.5876746	21.695652	6.1488104	2.130159	8.12194	-2.2067125	8000	-1.0728836e-09	369.2958	-0.022516206	-113.10803	0.916739	0.017237922	0.20025	0.046926885452121495	0.011967539241392582	5.0	22.038917779922485
2	81.33695	53.980602	224.16953	9.09036	51.83117	14.857918	2.3496704	15.849863	-2.1193194	12000	4.6491624e-09	2096.3572	-0.019730441	-592.07007	0.9155977	0.005100252	0.139	0.043043327927589414	0.010138521119741768	79.0	33.07173800468445
3	100.75603	53.346718	240.80586	9.571305	59.52239	25.565617	1.9385788	25.837507	-7.683741	16000	1.9073487e-09	1848.0913	-0.011029205	-357.38	0.9123706	0.01577744	0.16325	0.039369563665241004	0.0069697290595730306	6.0	43.79765963554382
4	124.9571	71.6363	240.41425	11.300404	72.2	32.764935	1.2897747	32.901466	6.2136164	20000	-2.384186e-10	2443.359	-0.008740665	-413.9558	0.91060984	0.01519021	0.17425	0.037940512113273143	0.006552184482102801	11.0	54.74002766609192
5	169.61958	62.240788	254.52315	46.51408	94.38095	39.890965	0.8577409	39.944683	12.206839	24000	2.6822091e-09	2586.0234	-0.013373345	-425.39233	0.9090839	0.010448493	0.092	0.04047764968127012	0.007590774017450457	79.0	66.38971185684204
6	198.23276	49.929115	259.21356	35.449963	107.10811	46.728916	0.9926969	46.764473	10.658749	28000	-5.543232e-09	2564.8806	-0.011507895	-403.062	0.91519475	0.0041322135	0.07775	0.04323725873604417	0.008984002066297023	79.0	78.20035910606384
7	199.322	38.19984	241.9533	76.49157	104.26316	53.22528	0.0034670415	53.225803	53.09266	32000	1.013279e-09	2148.8667	-0.011101137	-265.4707	0.9011731	0.0061890148	0.08075	0.04007894940674305	0.008236313564482609	79.0	89.69995355606079
8	204.82455	29.968756	238.4749	73.87478	106.675674	58.462383	0.5454439	58.478424	28.466228	36000	-3.218651e-09	1904.395	-0.01178791	-246.5138	0.90895385	0.004302744	0.06625	0.039554651714861395	0.007783168623605089	79.0	101.21771883964539
9	206.19945	32.377674	249.67516	81.5919	105.64865	60.839657	6.8746367	63.033943	0.71897995	40000	2.2649764e-09	1792.7285	-0.012723173	-451.07764	0.9061075	0.009030227	0.0735	0.03811765428632498	0.006280352838974256	79.0	112.60344219207764
