Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	WM_LossMean	WM_LossStd	StopIter	Time
24	331.46692	14.190469	354.0713	271.42642	145.66667	106.77875	35.37363	132.26141	1.4787655	100000	0.0	383.6374	-0.006930491	-100.160645	0.85192066	0.016470527	0.199	0.02452275510877371	0.0076986907607123675	3.0	292.3958134651184
25	325.56854	12.099361	345.4659	292.25192	138.21428	110.43101	36.684338	135.4314	1.896242	104000	1.192093e-10	351.64548	-0.0010839422	-79.65646	0.8519916	0.015942916	0.19425	0.023134283451363445	0.0053769511441162775	3.0	304.2631735801697
26	320.95364	15.323236	347.28323	255.44046	133.7931	111.6388	39.3937	138.72223	-0.7571981	108000	2.4437905e-09	334.1177	-0.015430885	-70.95776	0.85243595	0.013889132	0.133	0.024970120610669257	0.006765189837497235	79.0	316.1148293018341
27	320.3071	7.920845	339.54437	305.90613	132.66667	112.307846	40.03558	141.7548	1.3957961	112000	1.7881393e-09	230.29253	-0.015821485	-52.686905	0.84528184	0.013160629	0.11025	0.02437817276455462	0.006512553953415469	79.0	328.15448451042175
28	324.10443	7.1770554	336.58435	305.44608	133.03334	113.22772	41.833214	144.5439	-0.4758339	116000	2.771616e-09	211.80782	-0.013488252	-50.02455	0.8632972	0.010405677	0.096	0.023280769623816013	0.007006924140642137	79.0	340.1773660182953
29	326.23288	8.359126	345.5068	304.4792	135.34483	115.671616	42.341415	147.28146	-1.4573355	120000	-1.7881393e-09	161.41219	-0.0126882065	-35.395584	0.85561925	0.008163662	0.084	0.025010152235627175	0.007070030070693522	79.0	352.42248821258545
30	327.67014	11.904569	353.17294	305.85406	133.51724	116.52925	43.257317	149.68983	0.55289674	124000	0.0	161.50693	-0.013455299	-36.1708	0.8499322	0.015334049	0.11425	0.024374094540253282	0.00695915123393012	34.0	364.47199273109436
31	327.10208	10.375372	348.42438	304.2323	133.93103	118.90831	43.886234	152.08989	-0.37774086	128000	-1.3113022e-09	118.27732	-0.01796646	-24.377632	0.8549264	0.012431536	0.13525	0.025191679308190943	0.006405832050005105	79.0	376.63634872436523
32	322.61542	26.880356	365.88525	194.08481	132.6	119.60009	44.452366	154.09955	0.32818532	132000	5.00679e-09	220.57207	-0.016266726	-47.75966	0.83816576	0.011003817	0.14625	0.025352304000407458	0.008073209071591396	79.0	389.2524585723877
33	335.58627	16.280352	377.3928	294.5695	135.7931	118.790565	45.169827	155.60178	0.6156516	136000	-1.4305115e-09	161.30423	-0.020704804	-50.33905	0.8364443	0.009380571	0.1385	0.023437914149835707	0.007223004189455971	79.0	401.95016074180603
34	343.64874	17.525087	380.20483	314.14343	136.13792	122.741066	45.240486	157.6438	1.9710345	140000	3.3378602e-09	157.18571	-0.021314407	-38.481262	0.82971907	0.015072718	0.14675	0.02282991706393659	0.00509870448576678	55.0	414.1376414299011
35	354.06967	21.00143	392.56876	302.57352	136.86208	126.38119	44.9249	160.04657	0.73348475	144000	-5.9604646e-09	203.05592	-0.0044724164	-50.054092	0.81954956	0.0151001485	0.161	0.024234083062037826	0.00696012325248653	4.0	425.787442445755
36	371.53583	19.044651	418.0571	326.82556	142.07143	129.05583	45.24592	162.86229	-0.20331097	148000	9.298325e-09	238.95268	-0.020129902	-72.008835	0.81874853	0.011885243	0.1325	0.02232625755481422	0.007232103945268395	79.0	438.33128356933594
37	382.4364	15.232255	410.6079	327.85553	143.85185	133.23952	45.391323	166.18427	2.4406412	152000	3.9339065e-09	241.02684	-0.01602301	-75.01691	0.79910517	0.015042119	0.1165	0.023069752342998982	0.0067916410098593	40.0	450.05704498291016
38	381.07513	31.022543	415.9873	293.15268	141.21428	139.14153	45.144596	169.78967	0.09826684	156000	2.7418137e-09	382.865	-0.020278962	-75.58139	0.80874836	0.015082256	0.13025	0.02327224417589605	0.00719927679535077	60.0	462.0920388698578
39	398.83868	15.7980385	421.09995	353.41522	143.55556	138.22916	47.2728	172.84692	3.3612187	160000	-1.9073487e-09	316.49945	-0.018946344	-129.9488	0.81801003	0.012370694	0.11075	0.024716150760650635	0.008646468507552421	79.0	474.3022994995117
40	395.30463	21.488583	438.3948	336.01263	141.46428	143.6477	48.974136	176.88756	-2.1511447	164000	5.4836273e-09	187.31581	-0.0062736617	-55.194275	0.8148304	0.016537677	0.20375	0.024692067513242363	0.00809751686037402	4.0	485.84466528892517
41	403.36432	15.491505	430.74048	360.56375	141.75	145.23116	50.098366	180.08128	1.6972346	168000	-4.7683715e-09	166.22504	-0.019411493	-54.72003	0.81450194	0.015047697	0.1375	0.027135821944102644	0.008536608965438662	65.0	501.4864933490753
42	393.17188	67.30379	454.27228	188.14583	139.57143	150.94	49.30888	183.36115	0.005624056	172000	-8.106232e-09	756.76013	-0.0047865654	-76.256836	0.80217963	0.01753636	0.199	0.026868423111736775	0.011767340655489941	4.0	513.2957603931427
43	422.40884	30.97028	498.64334	325.12448	149.38461	151.13821	50.26866	185.0056	1.0440795	176000	2.384186e-10	291.7637	-0.006605722	-90.533005	0.8022369	0.021047214	0.18425	0.028482130439952017	0.012319382106660708	3.0	525.4129855632782
44	470.7044	77.99874	673.50574	400.2761	158.88	153.54369	49.762882	188.03137	3.8570983	180000	4.6491624e-09	796.53204	-0.019767657	-291.29047	0.8020062	0.010040152	0.121	0.03178280519321561	0.012232487612795665	79.0	537.9094667434692
45	485.96176	126.39959	696.14294	139.23265	164.70833	164.96495	50.914818	194.31813	2.1473792	184000	6.0796737e-09	1315.7627	-0.004968777	-292.09283	0.7966508	0.016370442	0.159	0.037190227713435886	0.014538170970446039	4.0	548.7578492164612
46	529.3976	143.20811	726.907	130.92851	175.36363	171.50606	51.51541	199.87575	1.4624515	188000	1.0967255e-08	1678.9993	-0.019797213	-381.16943	0.79555804	0.014725152	0.14775	0.04028522053733468	0.013484122088510088	79.0	559.9637758731842
47	589.9531	146.78412	911.05	175.0047	188.04762	178.58446	53.355007	206.9611	-5.852084	192000	2.026558e-09	1586.519	-0.022262432	-464.427	0.7885631	0.012093673	0.13775	0.0449604219943285	0.014795968807351236	79.0	570.283623456955
48	556.85846	90.051094	721.2466	401.1168	180.72728	180.46744	57.53026	215.50606	-5.0299	196000	-7.1525574e-10	616.97565	-0.0223474	-187.91742	0.7718695	0.0103039825	0.138	0.0474390372633934	0.019373704422508596	79.0	580.7677156925201
49	592.19324	144.90726	938.06116	375.22137	192.9	188.04291	57.68826	220.0064	-2.9703655	200000	3.5762786e-09	1517.0095	-0.025190217	-194.7461	0.76026374	0.010278773	0.14825	0.04465002480894327	0.015645894569214083	79.0	591.2884049415588
50	709.05255	52.359337	828.66223	611.54706	223.41176	193.3335	55.374554	223.24254	-1.3485806	204000	1.9073487e-09	1080.4846	-0.023603305	-390.56494	0.7666911	0.007861623	0.14775	0.04903589084744454	0.01482718111761781	79.0	601.7373495101929
51	682.20166	200.72792	1176.8893	259.65305	219.05556	203.54062	56.0648	231.19101	4.479957	208000	-2.384186e-10	1961.0796	-0.017166695	-122.390015	0.75796866	0.0055617676	0.1125	0.05058191897347569	0.016573265009025524	79.0	612.1057879924774
52	590.1023	148.01823	779.6631	127.66325	190.33333	201.60222	59.938248	235.26714	1.1831315	212000	1.4305115e-09	1431.2687	-0.018006474	-323.13513	0.7556696	0.015100893	0.1555	0.04480339815840125	0.015280419287734623	51.0	622.3069038391113
53	609.3958	83.53821	739.72534	439.1938	194.05	194.34334	63.366596	236.2309	-2.7537453	216000	4.768372e-10	335.9505	-0.021108089	-82.13704	0.75669336	0.008320306	0.12225	0.04709116864949465	0.01801622638967878	79.0	632.6520533561707
