Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	WM_LossMean	WM_LossStd	StopIter	Time
0	4.3202944	5.8958306	37.312496	-4.270635	22.273743	0.13040535	0.28993267	0.76850003	-0.7139158	4000	1.001358e-08	25.246395	-0.023528803	-5.536806	0.91893864	0.01926068	0.331	11.067307543754577	4.692563028661748	5.0	11.054612874984741
1	12.569605	12.1132555	67.269875	-2.843456	34.188034	1.6152432	1.8241106	6.6027145	-4.9953704	8000	3.9339065e-09	100.050156	-0.020064792	-34.334984	0.9173854	0.017449306	0.27475	5.3810468196868895	0.7480221029300663	6.0	20.927963495254517
2	25.697838	33.41173	250.01234	-3.40241	51.623375	6.188073	4.6294217	13.455152	-11.156792	12000	-5.722046e-09	502.42065	-0.01436285	-107.16742	0.9168704	0.015696086	0.26	4.091387226581573	0.5563377591678288	9.0	30.89099907875061
3	36.24081	37.12109	170.47403	-21.728056	71.375	8.666033	11.542027	22.826624	-22.311192	16000	7.1525574e-10	427.5721	-0.048241004	-99.553375	0.91716623	0.013564053	0.24225	3.5448507380485537	0.38431791797388487	79.0	41.273045778274536
4	48.9782	40.13139	186.19484	-0.56566375	79.4	15.067001	12.02383	28.717432	-25.618855	20000	9.536744e-10	391.17487	-0.013574814	-80.73035	0.9092552	0.016132614	0.2715	3.2297276496887206	0.3250653890116774	7.0	51.20006251335144
5	91.589584	82.209625	278.9123	11.069105	110.34286	20.57397	13.799561	34.74003	-23.362562	24000	-4.2021275e-09	1490.6666	-0.040031686	-442.03418	0.9073348	0.015162419	0.168	3.0950356912612915	0.28488553445276443	43.0	61.637357234954834
6	118.623405	94.96749	326.60526	-7.182641	130.6	31.960323	20.412611	47.024643	-39.338226	28000	5.841255e-09	1387.1799	-0.049230523	-285.36926	0.8999589	0.015075077	0.241	2.9894102907180784	0.2566363284481921	73.0	72.03141832351685
7	147.83484	103.73727	308.16858	7.6685505	125.03226	46.413445	16.721886	55.90734	-12.178832	32000	3.2782554e-09	1673.5145	-0.010637548	-415.1593	0.89358276	0.01626385	0.19225	2.963481078147888	0.2846960528391022	6.0	81.99086475372314
8	182.85101	99.60516	360.83258	24.661516	155.64	52.290462	23.49826	65.37356	-23.881226	36000	2.6226044e-09	1366.6768	-0.04192924	-266.07385	0.89335024	0.0150139285	0.19575	2.871919639110565	0.30205115187673204	60.0	92.19483494758606
9	220.36304	101.47811	419.2888	16.373953	163.0	64.30894	18.26966	72.17848	-15.259983	40000	-2.7418137e-09	1442.1703	-0.009911662	-338.26013	0.8889993	0.016496811	0.222	2.8383883881568908	0.2690732262594836	6.0	101.84384965896606
10	208.20184	102.615486	387.3874	10.780833	146.68	73.138596	18.92293	79.39731	-64.176	44000	-1.013279e-08	1456.1039	-0.05018977	-259.69226	0.8870625	0.01148685	0.242	2.754408850669861	0.2845358567488915	79.0	112.05948042869568
11	188.79771	87.04232	317.17908	23.188665	157.08	69.69767	29.24205	84.451065	-12.817039	48000	1.1920929e-09	1156.7839	-0.053592045	-241.44232	0.88646615	0.013778439	0.2575	2.7397928404808045	0.2591691717904902	79.0	122.36872959136963
12	177.972	85.78434	318.37894	45.55132	165.0	59.265533	33.607677	85.338356	-29.521736	52000	-9.298325e-09	1053.7577	-0.010141659	-138.50995	0.8761035	0.015043919	0.19375	2.672115797996521	0.2629840538485404	6.0	132.25373244285583
13	239.68993	85.559975	393.41537	29.63063	180.45454	69.11872	28.602646	84.79147	-19.252422	56000	-8.3446505e-10	1234.2826	-0.04937723	-183.87683	0.8763799	0.009041321	0.21125	2.669225412607193	0.27979387962742114	79.0	142.62286019325256
14	241.5404	131.59299	519.29376	36.345364	199.35	71.064255	30.900997	87.81558	-31.409927	60000	-3.3378602e-09	1411.1204	-0.011496752	-275.13074	0.8764158	0.015971733	0.19475	2.612803635597229	0.25100209688712083	7.0	152.54330158233643
15	205.10347	93.32811	379.8604	42.778366	164.83333	73.28847	33.231827	90.34044	-82.12218	64000	-7.867813e-09	1308.2511	-0.011183107	-242.01941	0.8754464	0.015064436	0.21725	2.566033194065094	0.2557300763265561	7.0	162.48218154907227
16	253.16295	77.182945	372.89145	51.346985	172.90909	79.3266	25.963646	90.4765	-23.769323	68000	-1.2159347e-08	1189.4319	-0.051802665	-197.66052	0.87505686	0.010890661	0.24925	2.4772636675834656	0.2561238597648781	79.0	172.93637466430664
17	276.53683	88.91455	409.95554	68.66801	209.52632	82.819916	27.948875	94.31119	-44.17926	72000	-9.536744e-10	982.1875	-0.05143381	-114.26959	0.87706804	0.01279231	0.235	2.4960924112796783	0.21363743701616594	79.0	183.17115592956543
18	271.51132	84.38268	431.45465	45.43188	169.34782	91.06178	16.032606	95.72092	-15.263839	76000	3.5762787e-10	1055.0142	-0.013218073	-547.2855	0.87582976	0.01587399	0.21925	2.4867387115955353	0.2657933572510443	5.0	192.9558162689209
19	246.83699	94.31295	384.7368	56.371704	207.78947	69.22425	41.691826	100.37108	-15.362526	80000	6.6757204e-09	652.9387	-0.042193145	-225.3406	0.8758231	0.015311624	0.23975	2.391894119977951	0.21989047882249413	42.0	202.83467054367065
20	267.48883	83.427704	414.95444	64.16483	200.26315	78.97662	34.704163	102.686325	-13.77714	84000	8.8214875e-09	453.16882	-0.0404907	-137.45248	0.87036604	0.015092094	0.21425	2.4024811589717867	0.2365316525261201	43.0	212.82066416740417
21	267.10477	88.51803	471.89273	52.55161	188.7619	80.03564	35.091278	105.9461	-14.010778	88000	3.5762786e-09	781.0171	-0.036399297	-388.32477	0.86155665	0.015123478	0.19125	2.340173535346985	0.19259891030303447	28.0	222.80791187286377
22	277.19037	68.40536	435.37033	114.41613	182.14285	87.47196	31.080742	107.031456	-30.280704	92000	1.4781952e-08	444.7526	-0.011066928	-143.95633	0.8631336	0.015581837	0.2015	2.3075048720836637	0.22664865438402676	5.0	232.67956447601318
23	283.72513	97.56857	476.1889	47.270226	198.8	86.04055	36.96162	109.72569	-18.165888	96000	1.4781952e-08	380.07996	-0.009267885	-158.96562	0.862347	0.01508364	0.21375	2.2131292855739595	0.23594265715736418	5.0	242.53418350219727
24	300.91046	85.89095	465.93875	112.91313	196.2	94.55206	31.626062	113.23154	-14.587817	100000	-2.6226044e-09	212.9534	-0.044217177	-78.62778	0.8604101	0.015030091	0.22475	2.195812544822693	0.23486336753846915	62.0	252.9064872264862
25	267.74356	142.40889	566.1431	50.10392	226.6875	84.44005	44.561802	115.37326	-14.728735	104000	5.00679e-09	884.14014	-0.010468242	-391.28	0.8610051	0.01576215	0.214	2.184833124876022	0.2556707507515824	7.0	263.05905628204346
26	335.56967	120.359726	728.5913	233.18155	233.35294	89.39717	29.387327	113.215546	-14.646411	108000	-4.768372e-10	460.008	-0.050558534	-200.28152	0.86060905	0.015218152	0.25975	2.1351031732559203	0.21317938778614365	66.0	273.15861916542053
27	326.0156	131.48325	728.54004	185.89708	227.35294	94.91589	27.684843	114.226654	-14.337823	112000	4.7683715e-09	295.99396	-0.009443793	-101.837006	0.8493539	0.015392497	0.21425	2.077285157442093	0.20914985919899545	6.0	282.93586564064026
28	328.969	128.53168	608.82904	20.708641	219.72223	96.98702	29.603922	115.763824	-16.908035	116000	3.3378602e-09	224.74118	-0.03137078	-77.05873	0.84825456	0.015236532	0.188	2.114620636701584	0.22199399652718815	27.0	292.7114112377167
29	345.96472	132.6588	728.6685	44.706234	231.17647	101.97986	28.899178	117.99936	-19.527172	120000	-3.3378602e-09	212.72705	-0.038874805	-56.544693	0.8514668	0.015056011	0.22325	2.056289212703705	0.2258641007556538	45.0	302.8196210861206
30	352.6205	213.48917	959.85394	35.36034	282.2143	95.78633	35.68855	119.211624	-17.378216	124000	-5.722046e-09	497.9059	-0.0129008675	-188.18958	0.8540386	0.016069494	0.21725	1.9954771435260772	0.18955739686674838	7.0	312.68129658699036
31	309.1078	152.29056	780.9184	81.054	216.33333	90.75761	31.969614	117.7577	-14.430868	128000	-2.7418137e-09	366.64868	-0.035312515	-182.16513	0.8525751	0.0152698215	0.19975	2.035005307197571	0.220531815567049	30.0	322.7698698043823
32	301.43268	100.27411	474.90833	25.56936	214.44444	94.650894	37.014423	120.15019	-16.904745	132000	-1.9073487e-09	402.3617	-0.011644852	-148.49474	0.84691477	0.01681555	0.25575	2.0627376294136046	0.24322619628526718	7.0	332.6102271080017
